id,examRound,year,questionNumber,session,subject,officialLarge,officialMedium,officialSmall,normalizedTheme,subTheme,importance,studyPoint,sourceUrl,sourceReliability,blueprintVersion,questionCountMode,memo
32-001,32,2024,1,共通,医療概論,専門基礎科目,医療概論,医療法・病院機能,health-policy,地域医療支援病院,,地域医療支援病院は地域の医療従事者研修実施が規定（医療法）。特定機能病院は高度医療,,indexed_official,2020,180,
32-002,32,2024,2,共通,医療概論,専門基礎科目,医療概論,難病対策,health-policy,難病公費負担医療の役割,,難病に対する公費負担医療の主な役割は研究推進。社会福祉・公衆衛生ではない,,indexed_official,2020,180,
32-003,32,2024,3,共通,医療概論,専門基礎科目,医療概論,チーム医療,medical-ethics,チーム医療の推進要件,,チーム医療では職種間の上下関係は望ましくない。専門性・情報共有・業務分担は推進要素,,indexed_official,2020,180,
32-004,32,2024,4,共通,医療概論,専門基礎科目,医療概論,介護保険制度,social-security,ケアプラン作成職種,,ケアプランを作成できるのは介護支援専門員（ケアマネジャー）。社会福祉士・MSWはできない,,indexed_official,2020,180,
32-005,32,2024,5,共通,衛生学・公衆衛生学,専門基礎科目,衛生学・公衆衛生学,食中毒・寄生虫,infectious-disease,アニサキス,,アニサキスは海産魚介類の生食による激しい胃痛（線虫）。加熱または-20℃・48時間冷凍で予防,,indexed_official,2020,180,
32-006,32,2024,6,共通,衛生学・公衆衛生学,専門基礎科目,衛生学・公衆衛生学,健康指標・用語,health-policy,ADL,,ADL（Activities of Daily Living）は日常生活を送るための最低限必要な動作。QOL＝生活の質,,indexed_official,2020,180,
32-007,32,2024,7,共通,衛生学・公衆衛生学,専門基礎科目,衛生学・公衆衛生学,消毒・滅菌,infectious-disease-control,手指消毒,,手指消毒は70%エタノールが適切。紫外線・EOGは器具の消毒。オキシドールは手指不適,,indexed_official,2020,180,
32-008,32,2024,8,共通,衛生学・公衆衛生学,専門基礎科目,衛生学・公衆衛生学,飲酒・生活習慣病,health-policy,飲酒リスク量,,男性の生活習慣病リスクを高める純アルコール量は40g/日以上（女性は20g/日以上）,,indexed_official,2020,180,
32-009,32,2024,9,共通,衛生学・公衆衛生学,専門基礎科目,衛生学・公衆衛生学,疫学指標,epidemiology,寄与危険度,,寄与危険度＝曝露群の罹患率−非曝露群の罹患率（差）。相対危険度は比。オッズ比はケースコントロール研究,,indexed_official,2020,180,
32-010,32,2024,10,共通,衛生学・公衆衛生学,専門基礎科目,衛生学・公衆衛生学,国際保健・SDGs,health-policy,SDGs17のゴール,,SDGsにはジェンダー平等・貧困撲滅・気候変動対策等が含まれる。再生医療促進・救急充実は含まれない,,indexed_official,2020,180,
