id,name,subject,examRounds,officialLarge,officialMedium,officialSmall,normalizedTheme,aliases,relatedThemes,studyPoint,blueprintVersion,questionCountMode,sourceReliability,sourceUrl
gen-ketsu,原穴,meridians-acupoints,29|30|31|32|33|34,経穴,特定穴,原穴,特定穴,十二原穴,geki-ketsu|bo-ketsu|go-yu-ketsu|kei-ketsu-shuchi,各経脈の原穴12穴を完全暗記。陰経の原穴＝五兪穴の輸穴と一致。原気が集まる部位で臓腑の診断・治療に重要。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
geki-ketsu,郄穴,meridians-acupoints,29|30|31|32|33,経穴,特定穴,郄穴,特定穴,,gen-ketsu|go-yu-ketsu,十六郄穴を表で整理。急性疾患・疼痛に用いる。陰の郄穴は血証に陽の郄穴は気証に有効。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
bo-ketsu,募穴,meridians-acupoints,29|30|31|32|34,経穴,特定穴,募穴,特定穴,腹募穴,gen-ketsu|go-yu-ketsu|kei-ketsu-shuchi,12臓腑の募穴を暗記。腹部・胸部に位置し診断と治療に用いる。俞募配穴が頻出。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
go-yu-ketsu,五兪穴,meridians-acupoints,29|30|31|32|33|34,経穴,特定穴,五要穴（五兪穴）,特定穴,五要穴|五腧穴,gen-ketsu|geki-ketsu|bo-ketsu,井・榮・輸・経・合の5種類と五行配当（陰経：木火土金水・陽経：金水木火土）を完全習得。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
kiki-hachi-myaku,奇経八脈,meridians-acupoints,29|30|32|33|34,経絡,奇経,奇経八脈の種類・走行・機能,奇経,奇経,juni-kei-myaku|kei-myaku-ryuchu,督脈・任脈・衝脈・帯脈・陰維脈・陽維脈・陰蹻脈・陽蹻脈の走行と機能を整理。交会穴が頻出。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
juni-kei-myaku,十二経脈,meridians-acupoints,29|30|31|32|33|34,経絡,正経十二経脈,十二経脈の概要と表裏関係,正経十二経脈,正経十二経脈,kiki-hachi-myaku|kei-myaku-ryuchu|kei-ketsu-shuchi,陰陽・表裏関係と流注順序を体系的に理解。手足の三陰三陽と臓腑の対応が必須。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
kei-myaku-ryuchu,経脈の流注,meridians-acupoints,29|30|31|32|34,経絡,正経十二経脈,各経脈の流注・起始・終止,正経十二経脈,,juni-kei-myaku|kiki-hachi-myaku,肺経から始まり肝経で終わる流注の順序と各経脈の起始・終止を暗記。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
kei-ketsu-shuchi,経穴の主治,meridians-acupoints,29|30|31|32|33|34,経穴,経穴の作用と主治,主要経穴の主治症,経穴の主治,,juni-kei-myaku|gen-ketsu|bo-ketsu,百会・足三里・三陰交・合谷・太衝など主要穴の主治を優先暗記。6年連続出題。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
in-yo-ron,陰陽論,oriental-overview,29|30|31|33|34,東洋医学の基礎理論,陰陽論,陰陽の概念・属性・相互関係,陰陽論,,go-gyo-ron|ki-ketsu-shin-eki,対立・互根・消長・転化の4関係を理解。臓腑・気血・寒熱・表裏への応用が頻出。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
go-gyo-ron,五行論,oriental-overview,29|30|31|32|33|34,東洋医学の基礎理論,五行論,五行の相生・相克・相乗・相侮,五行論,,in-yo-ron|zo-sho,相生・相克・相乗・相侮と五臓・五腑・五色・五味・五季などの対応表を完全暗記。,2020,180,indexed_official,https://ahaki.or.jp/exam/archives/
